sweep_rank,sweep_tier,title,year,venue,authors,doi,url,cited_by_count,source_queries,concepts,category,relevance_score,abstract_summary,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,hostile_reason,openalex_id
833,landscape_1000,Psychological reactions to human versus robotic job replacement,2019,Nature Human Behaviour,Armin Granulo; Christoph Fuchs; Stefano Puntoni,https://doi.org/10.1038/s41562-019-0670-y,https://doi.org/10.1038/s41562-019-0670-y,161,language conditioned robot manipulation policy,Psychology; Psychological science; Social psychology; Applied psychology,general robot learning,33.238,,Learn reusable embodied behavior under physical constraints.,"Learned robot policy, model, dataset, or controller for embodied behavior.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Embodiment mismatch is a nuisance variable. Policy capacity can learn the right action decoder.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode.,Reduces novelty of broad robot learning framing; leaves open a precise action-effect rule.,A minimal runnable test of action semantics across robot bodies.,Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W2965517028
834,landscape_1000,CognitiveDog: Large Multimodal Model Based System to Translate Vision and Language into Action of Quadruped Robot,2024,,Artem Lykov; Mikhail Litvinov; Mikhail Konenkov; Rinat Prochii; Nikita Burtsev; Ali Alridha Abdulkarim; Artem Bazhenov; V. G. Berman; et al.,https://doi.org/10.1145/3610978.3641080,https://doi.org/10.1145/3610978.3641080,16,vision language action robot model,Computer science; Robot; Task (project management); Humancomputer interaction; Artificial intelligence; Natural language; Object (grammar); Adaptability; Action (physics); Engineering,locomotion transfer,33.233,"This paper introduces CognitiveDog, a pioneering development of quadruped robot with Large Multi-modal Model (LMM) that is capable of not only communicating with humans verbally but also physically interacting with the environment through object manipulation. The system was realized on Unitree Go1 robot-dog equipped with",Transfer locomotion controllers across bodies and terrains.,"Learned robot policy, model, dataset, or controller for embodied behavior.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Reward structure defines comparable effects across bodies. Gait phases align across morphology.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode.,Reduces novelty of broad robot learning framing; leaves open a precise action-effect rule.,A minimal runnable test of action semantics across robot bodies.,Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W4392646028
835,landscape_1000,"A Standard Model of the Mind: Toward a Common Computational Framework Across Artificial Intelligence, Cognitive Science, Neuroscience, and Robotics",2017,AI Magazine,John E. Laird; Christian Lebiere; Paul S. Rosenbloom,https://doi.org/10.1609/aimag.v38i4.2744,https://doi.org/10.1609/aimag.v38i4.2744,389,action abstraction robotics; robot embodiment action space; robot foundation model action; robot policy embodiment agnostic representation; robot skill transfer across embodiments; vision language action robot model,Cognitive architecture; Soar; Artificial intelligence; Computer science; Cognitive science; Cognition; Abstraction; Computational model; Cognitive model; Cognitive neuroscience,general robot learning,33.216,"A standard model captures a community consensus over a coherent region of science, serving as a cumulative reference point for the field that can provide guidance for both research and applications, while also focusing efforts to extend or revise it. Here we propose developing such",Learn reusable embodied behavior under physical constraints.,"Learned robot policy, model, dataset, or controller for embodied behavior.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Embodiment mismatch is a nuisance variable. Policy capacity can learn the right action decoder.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode.,Reduces novelty of broad robot learning framing; leaves open a precise action-effect rule.,A minimal runnable test of action semantics across robot bodies.,Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W2779578326
836,landscape_1000,"Semantics for Robotic Mapping, Perception and Interaction: A Survey",2020,Foundations and Trends in Robotics,Sourav Garg; Niko Sunderhauf; Feras Dayoub; Douglas Morrison; Akansel Cosgun; Gustavo Carneiro; Qi Wu; Tat-Jun Chin; et al.,https://doi.org/10.1561/2300000059,https://doi.org/10.1561/2300000059,100,robot imitation learning action chunking; robot manipulation dataset heterogeneous robots; universal robot manipulation policy,Robotics; Artificial intelligence; Computer science; Robot; Semantics (computer science); Field (mathematics); Data science; Humancomputer interaction; Mathematics; Programming language,general robot learning,33.215,"For robots to navigate and interact more richly with the world around them, they will likely require a deeper understanding of the world in which they operate. In robotics and related research fields, the study of understanding is often referred to as semantics, which dictates",Learn reusable embodied behavior under physical constraints.,"Learned robot policy, model, dataset, or controller for embodied behavior.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Embodiment mismatch is a nuisance variable. Policy capacity can learn the right action decoder.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode.,Reduces novelty of broad robot learning framing; leaves open a precise action-effect rule.,A minimal runnable test of action semantics across robot bodies.,Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W3118885154
837,landscape_1000,A Theory of Social Agency for Human-Robot Interaction,2021,Frontiers in Robotics and AI,Ryan Blake Jackson; Tom Williams,https://doi.org/10.3389/frobt.2021.687726,https://doi.org/10.3389/frobt.2021.687726,63,robot skill transfer across embodiments,Agency (philosophy); Action (physics); Abstraction; Field (mathematics); Autonomy; Interactivity; Epistemology; Sociology; Computer science; Social psychology,general robot learning,33.209,"Motivated by inconsistent, underspecified, or otherwise problematic theories and usages of social agency in the HRI literature, and leveraging philosophical work on moral agency, we present a theory of social agency wherein a social agent (a thing with social agency) is any agent capable of",Learn reusable embodied behavior under physical constraints.,"Learned robot policy, model, dataset, or controller for embodied behavior.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Embodiment mismatch is a nuisance variable. Policy capacity can learn the right action decoder.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode.,Reduces novelty of broad robot learning framing; leaves open a precise action-effect rule.,A minimal runnable test of action semantics across robot bodies.,Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W3192253141
838,landscape_1000,From Skills to Symbols: Learning Symbolic Representations for Abstract High-Level Planning,2018,Journal of Artificial Intelligence Research,George Konidaris; Leslie Pack Kaelbling; Tomas LozanoPerez,https://doi.org/10.1613/jair.5575,https://doi.org/10.1613/jair.5575,244,robot action representation learning; robot policy embodiment agnostic representation; robot skill representation task space,Construct (python library); Computer science; Probabilistic logic; Representation (politics); Domain (mathematical analysis); Set (abstract data type); Task (project management); Theoretical computer science; Artificial intelligence; Automated planning and scheduling,robot manipulation learning,33.201,"We consider the problem of constructing abstract representations for planning in high-dimensional, continuous environments. We assume an agent equipped with a collection of high-level actions, and construct representations provably capable of evaluating plans composed of sequences of those actions. We first consider the deterministic planning",Acquire manipulation skills from perception and interaction data.,"Learned robot policy, model, dataset, or controller for embodied behavior.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. End-effector commands have comparable authority across arms. Object pose change can be learned without explicit capability normalization.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode.,Reduces novelty of broad robot learning framing; leaves open a precise action-effect rule.,A minimal runnable test of action semantics across robot bodies.,Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W2787066086
839,landscape_1000,Anthropomorphism in HumanRobot Co-evolution,2018,Frontiers in Psychology,Luisa Damiano; Paul Dumouchel,https://doi.org/10.3389/fpsyg.2018.00468,https://doi.org/10.3389/fpsyg.2018.00468,243,operational space control robot manipulation; robot embodiment action space,Robotics; Robot; Psychology; Artificial intelligence; Social robot; Humanrobot interaction; Cognitive science; Cognition; Computer science; Mobile robot,general robot learning,33.197,"Social robotics entertains a particular relationship with anthropomorphism, which it neither sees as a cognitive error, nor as a sign of immaturity. Rather it considers that this common human tendency, which is hypothesized to have evolved because it favoured cooperation among early humans, can be",Learn reusable embodied behavior under physical constraints.,"Learned robot policy, model, dataset, or controller for embodied behavior.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Embodiment mismatch is a nuisance variable. Policy capacity can learn the right action decoder.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode.,Reduces novelty of broad robot learning framing; leaves open a precise action-effect rule.,A minimal runnable test of action semantics across robot bodies.,Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W2791549227
840,landscape_1000,Should my robot know what's best for me? Humanrobot interaction between user experience and ethical design,2021,AI & Society,Nora Fronemann; Kathrin Pollmann; Wulf Loh,https://doi.org/10.1007/s00146-021-01210-3,https://doi.org/10.1007/s00146-021-01210-3,62,cross-embodiment robot policy,Autonomy; Humanrobot interaction; Humancomputer interaction; Usability; Robot; User experience design; Computer science; Realm; Interaction design; User-centered design,general robot learning,33.193,"Abstract To integrate social robots in real-life contexts, it is crucial that they are accepted by the users. Acceptance is not only related to the functionality of the robot but also strongly depends on how the user experiences the interaction. Established design principles from usability",Learn reusable embodied behavior under physical constraints.,"Learned robot policy, model, dataset, or controller for embodied behavior.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Embodiment mismatch is a nuisance variable. Policy capacity can learn the right action decoder.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode.,Reduces novelty of broad robot learning framing; leaves open a precise action-effect rule.,A minimal runnable test of action semantics across robot bodies.,Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W3159288239
841,landscape_1000,ChildRobot Relationship Formation: A Narrative Review of Empirical Research,2019,International Journal of Social Robotics,Caroline L. van Straten; Jochen Peter; Rinaldo Kuhne,https://doi.org/10.1007/s12369-019-00569-0,https://doi.org/10.1007/s12369-019-00569-0,151,cross embodiment robot learning,Narrative; Robotics; Artificial intelligence; Robot; Empirical research; Mechatronics; Psychology; Cognitive science; Computer science; Epistemology,general robot learning,33.174,"This narrative review aimed to elucidate which robot-related characteristics predict relationship formation between typically-developing children and social robots in terms of closeness and trust. Moreover, we wanted to know to what extent relationship formation can be explained by children's experiential and cognitive states during interaction",Learn reusable embodied behavior under physical constraints.,"Learned robot policy, model, dataset, or controller for embodied behavior.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Embodiment mismatch is a nuisance variable. Policy capacity can learn the right action decoder.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode.,Reduces novelty of broad robot learning framing; leaves open a precise action-effect rule.,A minimal runnable test of action semantics across robot bodies.,Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W2954175575
842,landscape_1000,Electroadhesion Technologies for Robotics: A Comprehensive Review,2019,IEEE Transactions on Robotics,Jianglong Guo; Jinsong Leng; Jonathan Rossiter,https://doi.org/10.1109/tro.2019.2956869,https://doi.org/10.1109/tro.2019.2956869,150,locomotion morphology transfer robot; robot dynamics transfer across morphologies,Adaptability; Crawling; Robotics; Soft robotics; Artificial intelligence; Robot; Soft materials; Computer science; Humancomputer interaction; Lift (data mining),general robot learning,33.167,"Electroadhesion (EA) is an electrically controllable adhesion mechanism that has been studied and used in fields including active adhesion and attachment, robotic gripping, robotic crawling and climbing, and haptics, for over a century. This is because EA technologies, compared to other existing adhesion solutions, facilitate",Learn reusable embodied behavior under physical constraints.,"Learned robot policy, model, dataset, or controller for embodied behavior.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Embodiment mismatch is a nuisance variable. Policy capacity can learn the right action decoder.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode.,Reduces novelty of broad robot learning framing; leaves open a precise action-effect rule.,A minimal runnable test of action semantics across robot bodies.,Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W2997361094
843,landscape_1000,Learning Agile Robotic Locomotion Skills by Imitating Animals,2020,,Xue Bin Peng; Erwin Coumans; Tingnan Zhang; Tsang-Wei Lee; Jie Tan; Sergey Levine,https://doi.org/10.15607/rss.2020.xvi.064,https://doi.org/10.15607/rss.2020.xvi.064,34,locomotion morphology transfer robot; robot retargeting manipulation policy,Agile software development; Process (computing); Computer science; Robot; Imitation; Adaptation (eye); Software deployment; Reinforcement learning; Artificial intelligence; Variety (cybernetics),sim-to-real transfer,33.155,"Reproducing the diverse and agile locomotion skills of animals has been a longstanding challenge in robotics. While manually-designed controllers have been able to emulate many complex behaviors, building such controllers involves a time-consuming and difficult development process, often requiring substantial expertise of the nuances of",Make policies trained in simulation work on physical robots.,Behavior cloning or imitation learning from demonstrations.,The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Randomized simulation covers the action-effect gap. The target embodiment lies inside the randomized training support.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Simulator parameter ranges.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode. Randomization includes visuals but not action-effect anisotropy.,Reduces novelty of robustness through variation; leaves open explicit preservation of action effects.,A transfer boundary defined by action feasibility rather than randomized training support.,Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W3014488508
844,landscape_1000,Developing Kaspar: A Humanoid Robot for Children with Autism,2019,International Journal of Social Robotics,Luke Wood; Abolfazl Zaraki; Ben Robins; Kerstin Dautenhahn,https://doi.org/10.1007/s12369-019-00563-6,https://doi.org/10.1007/s12369-019-00563-6,148,affordance action representation robot,Humanoid robot; Robotics; Robot; Humancomputer interaction; Mechatronics; Field (mathematics); Computer science; Multidisciplinary approach; Artificial intelligence; Social robot,general robot learning,33.154,In the late 1990s using robotic technology to assist children with Autistic Spectrum Condition (ASD) emerged as a potentially useful area of research. Since then the field of assistive robotics for children with ASD has grown considerably with many academics trialling different robots and approaches.,Learn reusable embodied behavior under physical constraints.,"Learned robot policy, model, dataset, or controller for embodied behavior.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Embodiment mismatch is a nuisance variable. Policy capacity can learn the right action decoder.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode.,Reduces novelty of broad robot learning framing; leaves open a precise action-effect rule.,A minimal runnable test of action semantics across robot bodies.,Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W2960118633
845,landscape_1000,"Autonomous Robotic Manipulation: Real-Time, Deep-Learning Approach for Grasping of Unknown Objects",2022,Journal of Robotics,Malak Sayour; Sharbel Kozhaya; Samer S. Saab,https://doi.org/10.1155/2022/2585656,https://doi.org/10.1155/2022/2585656,37,robot manipulation dataset heterogeneous robots; universal robot manipulation policy,Computer science; Artificial intelligence; Visual servoing; Computer vision; Robotics; Deep learning; Modular design; Object (grammar); Pipeline (software); Convolutional neural network,robot manipulation learning,33.138,Recent advancement in vision-based robotics and deep-learning techniques has enabled the use of intelligent systems in a wider range of applications requiring object manipulation. Finding a robust solution for object grasping and autonomous manipulation became the focus of many engineers and is still one of,Acquire manipulation skills from perception and interaction data.,"Learned robot policy, model, dataset, or controller for embodied behavior.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. End-effector commands have comparable authority across arms. Object pose change can be learned without explicit capability normalization.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode.,Reduces novelty of broad robot learning framing; leaves open a precise action-effect rule.,A minimal runnable test of action semantics across robot bodies.,Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W4283765624
846,landscape_1000,"Robots in agriculture: prospects, impacts, ethics, and policy",2020,Precision Agriculture,Robert Sparrow; Mark Howard,https://doi.org/10.1007/s11119-020-09757-9,https://doi.org/10.1007/s11119-020-09757-9,245,robot skill representation task space; universal robot manipulation policy,Robotics; Agriculture; Robot; Politics; Engineering ethics; Wonder; Key (lock); Artificial intelligence; Political science; Food security,general robot learning,33.105,,Learn reusable embodied behavior under physical constraints.,"Learned robot policy, model, dataset, or controller for embodied behavior.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Embodiment mismatch is a nuisance variable. Policy capacity can learn the right action decoder.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode.,Reduces novelty of broad robot learning framing; leaves open a precise action-effect rule.,A minimal runnable test of action semantics across robot bodies.,Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W3093836846
847,landscape_1000,Robot-Supported Collaborative Learning (RSCL): Social Robots as Teaching Assistants for Higher Education Small Group Facilitation,2020,Frontiers in Robotics and AI,Rinat B. RosenbergKima; Yaacov Koren; Goren Gordon,https://doi.org/10.3389/frobt.2019.00148,https://doi.org/10.3389/frobt.2019.00148,88,cross embodiment robot learning,Computer science; Robot; Facilitation; Social facilitation; Humancomputer interaction; Artificial intelligence; Group (periodic table); Multimedia; Cognitive psychology; Psychology,general robot learning,33.089,"Acknowledging the benefits of active learning and the importance of collaboration skills, the higher education system has started to transform toward utilization of group activities into lecture hall culture. In this study, a novel interaction has been introduced, wherein a social robot facilitated a small",Learn reusable embodied behavior under physical constraints.,"Learned robot policy, model, dataset, or controller for embodied behavior.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Embodiment mismatch is a nuisance variable. Policy capacity can learn the right action decoder.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode.,Reduces novelty of broad robot learning framing; leaves open a precise action-effect rule.,A minimal runnable test of action semantics across robot bodies.,Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W2999166181
848,landscape_1000,A Survey of Research on Cloud Robotics and Automation,2015,IEEE Transactions on Automation Science and Engineering,Ben Kehoe; Sachin Patil; Pieter Abbeel; Ken Goldberg,https://doi.org/10.1109/tase.2014.2376492,https://doi.org/10.1109/tase.2014.2376492,827,affordance action representation robot; robot action representation learning; robot controller transfer different kinematics; robot foundation model action; robot foundation model multi robot data; robot learning from demonstration action space; robot skill representation task space; task space control robot learning; vision language action robot model,Robotics; Automation; Cloud computing; Artificial intelligence; Robot; Computer science; Engineering; Manufacturing engineering; Systems engineering; Mechanical engineering,sim-to-real transfer,33.069,"The Cloud infrastructure and its extensive set of Internet-accessible resources has potential to provide significant benefits to robots and automation systems. We consider robots and automation systems that rely on data or code from a network to support their operation, i.e., where not all sensing,",Make policies trained in simulation work on physical robots.,"Learned robot policy, model, dataset, or controller for embodied behavior.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Randomized simulation covers the action-effect gap. The target embodiment lies inside the randomized training support.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Simulator parameter ranges.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode. Randomization includes visuals but not action-effect anisotropy.,Reduces novelty of robustness through variation; leaves open explicit preservation of action effects.,A transfer boundary defined by action feasibility rather than randomized training support.,Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W2085302753
849,landscape_1000,Passive Brain-Computer Interfaces for Enhanced Human-Robot Interaction,2020,Frontiers in Robotics and AI,Maryam Alimardani; Kazuo Hiraki,https://doi.org/10.3389/frobt.2020.00125,https://doi.org/10.3389/frobt.2020.00125,86,cross-embodiment robot policy,Computer science; Humancomputer interaction; Humanrobot interaction; Robot; Braincomputer interface; Artificial intelligence; Electroencephalography; Neuroscience; Biology,general robot learning,33.066,"Brain-computer interfaces (BCIs) have long been seen as control interfaces that translate changes in brain activity, produced either by means of a volitional modulation or in response to an external stimulation. However, recent trends in the BCI and neurofeedback research highlight passive monitoring of a",Learn reusable embodied behavior under physical constraints.,"Learned robot policy, model, dataset, or controller for embodied behavior.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Embodiment mismatch is a nuisance variable. Policy capacity can learn the right action decoder.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode.,Reduces novelty of broad robot learning framing; leaves open a precise action-effect rule.,A minimal runnable test of action semantics across robot bodies.,Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W3091698088
850,landscape_1000,A Music-Therapy Robotic Platform for Children With Autism: A Pilot Study,2022,Frontiers in Robotics and AI,Huanghao Feng; Mohammad H. Mahoor; Francesca Dino,https://doi.org/10.3389/frobt.2022.855819,https://doi.org/10.3389/frobt.2022.855819,34,robot imitation learning action chunking,Autism spectrum disorder; Autism; Computer science; Robot; Music therapy; Nonverbal communication; Humancomputer interaction; Psychology; Artificial intelligence; Developmental psychology,robot foundation policies,33.055,"Children with Autism Spectrum Disorder (ASD) experience deficits in verbal and nonverbal communication skills including motor control, turn-taking, and emotion recognition. Innovative technology, such as socially assistive robots, has shown to be a viable method for Autism therapy. This paper presents a novel robot-based music-therapy","Scale robot policies across tasks, datasets, and robot embodiments.","Learned robot policy, model, dataset, or controller for embodied behavior.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Robot identity tokens and data scale can absorb action-map mismatch. A shared action tensor can be normalized independently of local controllability.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Dataset robot mix and tokenizer design.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode. Learned robot token hides action incompatibility.,Reduces novelty of large cross-robot policies; challenges claims that data scale alone solves action transfer.,Whether the same model output has comparable physical meaning on robots with different local controllability.,Closest empirical threat: may claim multi-robot data learns embodiment compensation.,https://openalex.org/W4281295534
851,landscape_1000,Self-organising swarms of firefighting drones: Harnessing the power of collective intelligence in decentralised multi-robot systems,2019,Journal of Computational Science,Mauro S. Innocente; Paolo Grasso,https://doi.org/10.1016/j.jocs.2019.04.009,https://doi.org/10.1016/j.jocs.2019.04.009,134,multi robot multi embodiment learning,Firefighting; Robot; Swarm robotics; Drone; Swarm behaviour; Swarm intelligence; Scalability; Computer science; Distributed computing; Artificial intelligence,cross-embodiment and morphology transfer,33.055,"Swarm intelligence (SI) is concerned with the collective behaviour that emerges from decentralised self-organising systems, whilst swarm robotics (SR) is an approach to the self-coordination of large numbers of simple robots which emerged as the application of SI to multi-robot systems. Given the increasing severity","Transfer skills when kinematics, dynamics, or morphology differ.","Learned robot policy, model, dataset, or controller for embodied behavior.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. A static morphology descriptor is enough to decode actions. Transfer error is mostly a policy-generalization problem.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode.,Reduces novelty of morphology-aware transfer; leaves open local task-effect normalization rules.,A nonlearned local renormalization rule with a checkable preservation claim.,Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W2952001483
852,landscape_1000,Robotic architectural assembly with tactile skills: Simulation and optimization,2021,Automation in Construction,Boris Belousov; Bastian Wibranek; Jan Schneider; Tim Schneider; Georgia Chalvatzaki; Jan Peters; Oliver Tessmann,https://doi.org/10.1016/j.autcon.2021.104006,https://doi.org/10.1016/j.autcon.2021.104006,53,contact rich manipulation robot learning,Computer science; Robotic hand; Simulation; Humancomputer interaction; Engineering drawing; Artificial intelligence; Engineering; Computer graphics (images); Robot,sim-to-real transfer,33.039,,Make policies trained in simulation work on physical robots.,Contact-state or tactile representation used to guide manipulation.,The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Randomized simulation covers the action-effect gap. The target embodiment lies inside the randomized training support.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Simulator parameter ranges.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode. Randomization includes visuals but not action-effect anisotropy.,Reduces novelty of robustness through variation; leaves open explicit preservation of action effects.,A transfer boundary defined by action feasibility rather than randomized training support.,Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W3210516907
853,landscape_1000,Multi-agent reinforcement learning for redundant robot control in task-space,2020,International Journal of Machine Learning and Cybernetics,Adolfo Perrusquia; Wen Yu; Xiaoou Li,https://doi.org/10.1007/s13042-020-01167-7,https://doi.org/10.1007/s13042-020-01167-7,81,task space control robot learning,Jacobian matrix and determinant; Inverse kinematics; Reinforcement learning; Computer science; Kinematics; Artificial neural network; Robot; Artificial intelligence; Robot kinematics; Degrees of freedom (physics and chemistry),task-space control and kinematics,33.007,,Convert desired task-space motion into feasible low-level robot commands.,Task-space or Jacobian-based controller translating desired motion into robot commands.,The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Task-space targets are already known and cleanly specified. Singularities and actuator limits can be handled as controller details.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Local Jacobian availability and calibration.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode. Controller preserves motion but not learned action-token semantics.,Reduces novelty of using Jacobians alone; leaves novelty only for action-space renormalization and cross-embodiment policy semantics.,"How to make the policy action variable itself comparable across embodiments, including infeasible-effect reporting.",Closest mechanism overlap: already maps task motion through robot Jacobians.,https://openalex.org/W3042045548
854,landscape_1000,"Measurement Instruments for the Anthropomorphism, Animacy, Likeability, Perceived Intelligence, and Perceived Safety of Robots",2008,International Journal of Social Robotics,Christoph Bartneck; Dana Kulic; Elizabeth A. Croft; Susana Zoghbi,https://doi.org/10.1007/s12369-008-0001-3,https://doi.org/10.1007/s12369-008-0001-3,3039,action abstraction robotics; cross embodiment robot learning; multi robot multi embodiment learning; robot embodiment action space; task space control robot learning,Animacy; Psychology; Reliability (semiconductor); Applied psychology; Robot; Robotics; Cognitive psychology; Artificial intelligence; Social psychology; Computer science,general robot learning,33.0,This study emphasizes the need for standardized measurement tools for human robot interaction (HRI). If we are to make progress in this field then we must be able to compare the results from different studies. A literature review has been performed on the measurements of,Learn reusable embodied behavior under physical constraints.,"Learned robot policy, model, dataset, or controller for embodied behavior.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Embodiment mismatch is a nuisance variable. Policy capacity can learn the right action decoder.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode.,Reduces novelty of broad robot learning framing; leaves open a precise action-effect rule.,A minimal runnable test of action semantics across robot bodies.,Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W2032568497
